Date,Days to race,Previous Night's Sleep (hours),Deep Sleep,WHOOP Sleep,WHOOP Deep Sleep,Weight (pounds),Body Fat,BMI,Run type,Distance (miles),Time,Average Pace (min/mile),Average HR (bpm),Max HR,WHOOP Max HR,Average Cadence (spm),Average Stride Length (m),Temperature (F),Humidity (%),Calories required (low),Calories actual,Calories required (high),Calories burned,Net calories,Carbs required (g),Carbs actual (g),Carbs %,Fat required (g),Fat actual (g),Protein required (g),Protein actual (g),Breakfast,Lunch,Dinner,Post workout carbs (grams - low),Post workout carbs (grams - high),Post workout carbs (grams - actual),Post workout protein ideal (grams),Post workout protein - actual (grams),General aerobic runs,Threshold runs,Medium long runs,Recovery runs,Long runs
12/27/2020,21,8:18:00,1:01:00,,,,,,Long run,20.00,2:51:43,0:08:35,152,,,171,,30.0,76.00%,0.0,,0,,0.0,0.0,,,0.0,,0.0,,,,,,,,,,,,,,0:08:35
12/28/2020,20,8:11:00,1:25:00,,,176.4,14.7,22.0,,,,,,,,,,,,"3,704.4",,"4,410",,0.0,529.2,,,105.8,,105.8,,,,,,,,,,,,,,
12/29/2020,19,9:32:00,2:00:00,8:45:00,2:02:00,177.5,15.0,22.2,Recovery,6.00,0:51:12,0:08:32,157,,182,169,,47.0,85.00%,"3,727.5",,"4,438",,0.0,532.5,,,106.5,,106.5,,,,,,,,,,,,,0:08:32,
12/30/2020,18,9:42:00,1:31:00,9:09:00,2:14:00,177.9,15.0,22.2,Medium long,12.00,1:31:26,0:07:37,167,,183,173,,52.0,88.00%,"3,735.9",,"4,448",,0.0,533.7,,,106.7,,106.7,,,,,,,,,,,,0:07:37,,
12/31/2020,17,9:06:00,1:36:00,8:22:00,1:56:00,177.0,14.8,22.1,Recovery,4.00,0:32:48,,,,181,,,,,"3,717.0",,"4,425",,0.0,531.0,,,106.2,,106.2,,,,,,,,,,,,,,
1/1/2021,16,8:41:00,1:51:00,7:33:00,2:25:00,176.1,14.7,22.0,Recovery,5.00,0:56:36,0:11:19,112,,173,157,,68.0,94.00%,"3,698.1",,"4,403",,0.0,528.3,,,105.7,,105.7,,,,,,,,,,,,,0:11:19,
1/2/2021,15,8:41:00,1:56:00,8:34:00,2:45:00,177.5,15.1,22.2,Threshold,6.20,0:41:15,0:06:39,172,,183,177,,68.0,93.00%,"3,727.5",,"4,438",,0.0,532.5,,,106.5,,106.5,,,,,,,,,,,0:06:39,,,
1/3/2021,14,9:09:00,1:54:00,8:06:00,1:47:00,176.8,14.9,22.1,Long run,16.00,2:02:52,0:07:41,169,,185,172,,62.0,87.00%,"3,712.8",,"4,420",,0.0,530.4,,,106.1,,106.1,,,,,,,,,,,,,,0:07:41
1/4/2021,13,9:08:00,0:33:00,8:51:00,2:05:00,177.0,15.0,22.1,,,,,,,,,,,,"3,717.0",,"4,425",,0.0,531.0,,,106.2,,106.2,,,,,,,,,,,,,,
1/5/2021,12,8:47:00,0:35:00,8:01:00,1:54:00,176.1,14.8,22.0,Recovery,7.00,,,,,183,,,,,"3,698.1",,"4,403",,0.0,528.3,,,105.7,,105.7,,,,,,,,,,,,,,
1/6/2021,11,9:08:00,1:55:00,8:25:00,2:09:00,176.4,14.7,22.0,Recovery,4.00,0:35:43,0:08:56,135,,168,166,,39.0,88.00%,"3,704.4",,"4,410",,0.0,529.2,,,105.8,,105.8,,,,,,,,,,,,,0:08:56,
1/7/2021,10,8:52:00,1:10:00,8:31:00,1:44:00,176.8,15.0,22.1,VO2 max,8.00,1:01:58,0:07:45,166,186,180,171,1.21,41.0,83.00%,"3,712.8",,"4,420",,0.0,530.4,,,106.1,,106.1,,,,,,,,,,,,,,
1/8/2021,9,8:56:00,2:23:00,8:31:00,1:41:00,177.0,14.9,22.1,Recovery,5.00,0:43:46,0:08:45,163,178,171,166,1.11,46.0,93.00%,"3,717.0",,"4,425",,0.0,531.0,,,106.2,,106.2,,,,,,,,,,,,,0:08:45,
1/9/2021,8,6:21:00,1:10:00,6:01:00,1:44:00,176.6,14.9,22.1,Recovery,5.00,0:42:58,0:08:35,157,176,192,172,1.09,47.0,80.00%,"3,708.6",,"4,415",,0.0,529.8,,,106.0,,106.0,,,,,,,,,,,,,0:08:35,
1/10/2021,7,11:03:00,2:24:00,8:16:00,2:04:00,177.3,14.9,22.2,Medium long,13.00,1:40:23,0:07:43,168,191,187,173,1.20,46.0,62.00%,"3,723.3",,"4,433",,0.0,531.9,,,106.4,,106.4,,,,,,,,,,,,0:07:43,,
1/11/2021,6,10:01:00,1:47:00,9:04:00,2:41:00,177.0,14.9,22.1,,,,,,,,,,,,"3,717.0",,"4,425",,0.0,531.0,,,106.2,,106.2,,,,,,,,,,,,,,
1/12/2021,5,9:11:00,1:11:00,7:59:00,1:47:00,177.5,15.1,22.2,Recovery,7.00,1:04:12,0:09:10,141,175,188,167,1.05,46.0,94.00%,"3,727.5",,"4,438",,0.0,532.5,,,106.5,,106.5,,,,,,,,,,,,,0:09:10,
1/13/2021,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/14/2021,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/16/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/17/2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
